strike_price,premium,current_date,expiry_date,moneyness,option_type
8000,5.7,20-05-2020,28-05-2020,OTM,put
8050,5.9,20-05-2020,28-05-2020,OTM,put
8100,6.5,20-05-2020,28-05-2020,OTM,put
8150,6.75,20-05-2020,28-05-2020,OTM,put
8200,7,20-05-2020,28-05-2020,OTM,put
8250,9.95,20-05-2020,28-05-2020,OTM,put
8300,10,20-05-2020,28-05-2020,OTM,put
8350,13.55,20-05-2020,28-05-2020,OTM,put
8400,13.9,20-05-2020,28-05-2020,OTM,put
8450,20.05,20-05-2020,28-05-2020,OTM,put
8500,21.85,20-05-2020,28-05-2020,OTM,put
8550,27,20-05-2020,28-05-2020,OTM,put
8600,29.1,20-05-2020,28-05-2020,OTM,put
8650,35.75,20-05-2020,28-05-2020,OTM,put
8700,42.5,20-05-2020,28-05-2020,OTM,put
8750,53.05,20-05-2020,28-05-2020,OTM,put
8800,61,20-05-2020,28-05-2020,OTM,put
8850,75,20-05-2020,28-05-2020,OTM,put
8900,87.2,20-05-2020,28-05-2020,OTM,put
8950,113.95,20-05-2020,28-05-2020,OTM,put
9000,121,20-05-2020,28-05-2020,OTM,put
9050,143,20-05-2020,28-05-2020,OTM,put
9100,166,20-05-2020,28-05-2020,ATM,put
9150,198.6,20-05-2020,28-05-2020,ITM,put
9200,224.05,20-05-2020,28-05-2020,ITM,put
9250,262.35,20-05-2020,28-05-2020,ITM,put
9300,288,20-05-2020,28-05-2020,ITM,put
9350,324.2,20-05-2020,28-05-2020,ITM,put
9400,362,20-05-2020,28-05-2020,ITM,put
9450,410.3,20-05-2020,28-05-2020,ITM,put
9500,444.05,20-05-2020,28-05-2020,ITM,put
9550,513.7,20-05-2020,28-05-2020,ITM,put
9600,532.55,20-05-2020,28-05-2020,ITM,put
9650,604.95,20-05-2020,28-05-2020,ITM,put
9700,627.55,20-05-2020,28-05-2020,ITM,put
9750,687.3,20-05-2020,28-05-2020,ITM,put
9800,721.9,20-05-2020,28-05-2020,ITM,put
9850,781.55,20-05-2020,28-05-2020,ITM,put
9900,822.65,20-05-2020,28-05-2020,ITM,put
9950,900.1,20-05-2020,28-05-2020,ITM,put
10000,918,20-05-2020,28-05-2020,ITM,put
10050,1010.65,20-05-2020,28-05-2020,ITM,put
10100,1019.35,20-05-2020,28-05-2020,ITM,put
10150,1113.7,20-05-2020,28-05-2020,ITM,put
10200,1114.45,20-05-2020,28-05-2020,ITM,put
10250,1209.7,20-05-2020,28-05-2020,ITM,put
10300,1226.15,20-05-2020,28-05-2020,ITM,put
10350,1328.55,20-05-2020,28-05-2020,ITM,put
10400,1384.6,20-05-2020,28-05-2020,ITM,put
10450,1425.45,20-05-2020,28-05-2020,ITM,put
10500,1414.8,20-05-2020,28-05-2020,ITM,put
10550,1525.9,20-05-2020,28-05-2020,ITM,put
10600,1593.85,20-05-2020,28-05-2020,ITM,put
10650,1648.4,20-05-2020,28-05-2020,ITM,put
10700,1612.95,20-05-2020,28-05-2020,ITM,put
10750,2043.1,20-05-2020,28-05-2020,ITM,put
10800,1713.05,20-05-2020,28-05-2020,ITM,put
10850,2097.25,20-05-2020,28-05-2020,ITM,put
10900,1944.2,20-05-2020,28-05-2020,ITM,put
10950,2258.25,20-05-2020,28-05-2020,ITM,put
11000,1913.1,20-05-2020,28-05-2020,ITM,put
