strike_price,premium,current_date,expiry_date,moneyness,option_type
8000,18.8,20-05-2020,04-06-2020,OTM,put
8050,0,20-05-2020,04-06-2020,OTM,put
8100,55.9,20-05-2020,04-06-2020,OTM,put
8150,102.25,20-05-2020,04-06-2020,OTM,put
8200,32,20-05-2020,04-06-2020,OTM,put
8250,92.1,20-05-2020,04-06-2020,OTM,put
8300,63.9,20-05-2020,04-06-2020,OTM,put
8350,74.25,20-05-2020,04-06-2020,OTM,put
8400,47.65,20-05-2020,04-06-2020,OTM,put
8450,0,20-05-2020,04-06-2020,OTM,put
8500,58,20-05-2020,04-06-2020,OTM,put
8550,0,20-05-2020,04-06-2020,OTM,put
8600,75,20-05-2020,04-06-2020,OTM,put
8650,0,20-05-2020,04-06-2020,OTM,put
8700,101.75,20-05-2020,04-06-2020,OTM,put
8750,0,20-05-2020,04-06-2020,OTM,put
8800,124.05,20-05-2020,04-06-2020,OTM,put
8850,0,20-05-2020,04-06-2020,OTM,put
8900,156.05,20-05-2020,04-06-2020,OTM,put
8950,0,20-05-2020,04-06-2020,OTM,put
9000,189.9,20-05-2020,04-06-2020,OTM,put
9050,419.1,20-05-2020,04-06-2020,OTM,put
9100,235.4,20-05-2020,04-06-2020,ATM,put
9150,0,20-05-2020,04-06-2020,ITM,put
9200,300.05,20-05-2020,04-06-2020,ITM,put
9250,413.85,20-05-2020,04-06-2020,ITM,put
9300,377.9,20-05-2020,04-06-2020,ITM,put
9350,0,20-05-2020,04-06-2020,ITM,put
9400,446.9,20-05-2020,04-06-2020,ITM,put
9450,0,20-05-2020,04-06-2020,ITM,put
9500,525.2,20-05-2020,04-06-2020,ITM,put
9550,615.45,20-05-2020,04-06-2020,ITM,put
9600,631.6,20-05-2020,04-06-2020,ITM,put
9650,696.3,20-05-2020,04-06-2020,ITM,put
9700,735.3,20-05-2020,04-06-2020,ITM,put
9750,788.7,20-05-2020,04-06-2020,ITM,put
9800,833.15,20-05-2020,04-06-2020,ITM,put
9850,973.85,20-05-2020,04-06-2020,ITM,put
9900,1028.45,20-05-2020,04-06-2020,ITM,put
9950,1088.2,20-05-2020,04-06-2020,ITM,put
10000,991.25,20-05-2020,04-06-2020,ITM,put
10050,1118.4,20-05-2020,04-06-2020,ITM,put
10100,1177.1,20-05-2020,04-06-2020,ITM,put
10150,1226.85,20-05-2020,04-06-2020,ITM,put
10200,1285.1,20-05-2020,04-06-2020,ITM,put
10250,1333.5,20-05-2020,04-06-2020,ITM,put
10300,1391.45,20-05-2020,04-06-2020,ITM,put
10350,1433.85,20-05-2020,04-06-2020,ITM,put
10400,1479.25,20-05-2020,04-06-2020,ITM,put
10450,1533.85,20-05-2020,04-06-2020,ITM,put
10500,1569.65,20-05-2020,04-06-2020,ITM,put
10550,1624.25,20-05-2020,04-06-2020,ITM,put
10600,1693.8,20-05-2020,04-06-2020,ITM,put
10650,1748.4,20-05-2020,04-06-2020,ITM,put
10700,1818.45,20-05-2020,04-06-2020,ITM,put
10750,1872.7,20-05-2020,04-06-2020,ITM,put
10800,1921.15,20-05-2020,04-06-2020,ITM,put
10850,1988.45,20-05-2020,04-06-2020,ITM,put
10900,2044.6,20-05-2020,04-06-2020,ITM,put
10950,2087.7,20-05-2020,04-06-2020,ITM,put
11000,2136.85,20-05-2020,04-06-2020,ITM,put
