strike_price,premium,current_date,expiry_date,moneyness,option_type
8000,122.75,20-05-2020,18-06-2020,OTM,put
8050,422.7,20-05-2020,18-06-2020,OTM,put
8100,122.8,20-05-2020,18-06-2020,OTM,put
8150,164.05,20-05-2020,18-06-2020,OTM,put
8200,134.85,20-05-2020,18-06-2020,OTM,put
8250,184.35,20-05-2020,18-06-2020,OTM,put
8300,151.95,20-05-2020,18-06-2020,OTM,put
8350,206.45,20-05-2020,18-06-2020,OTM,put
8400,170.85,20-05-2020,18-06-2020,OTM,put
8450,225.3,20-05-2020,18-06-2020,OTM,put
8500,191.85,20-05-2020,18-06-2020,OTM,put
8550,253.95,20-05-2020,18-06-2020,OTM,put
8600,228.6,20-05-2020,18-06-2020,OTM,put
8650,288.75,20-05-2020,18-06-2020,OTM,put
8700,248.55,20-05-2020,18-06-2020,OTM,put
8750,327.45,20-05-2020,18-06-2020,OTM,put
8800,283.15,20-05-2020,18-06-2020,OTM,put
8850,317.85,20-05-2020,18-06-2020,OTM,put
8900,320.7,20-05-2020,18-06-2020,OTM,put
8950,396.9,20-05-2020,18-06-2020,OTM,put
9000,356.85,20-05-2020,18-06-2020,OTM,put
9050,386,20-05-2020,18-06-2020,OTM,put
9100,536.2,20-05-2020,18-06-2020,ATM,put
9150,595,20-05-2020,18-06-2020,ITM,put
9200,648,20-05-2020,18-06-2020,ITM,put
9250,702.95,20-05-2020,18-06-2020,ITM,put
9300,761.2,20-05-2020,18-06-2020,ITM,put
9350,812.1,20-05-2020,18-06-2020,ITM,put
9400,848.95,20-05-2020,18-06-2020,ITM,put
9450,910.9,20-05-2020,18-06-2020,ITM,put
9500,969.1,20-05-2020,18-06-2020,ITM,put
9550,1023.2,20-05-2020,18-06-2020,ITM,put
9600,1077.8,20-05-2020,18-06-2020,ITM,put
9650,1124.9,20-05-2020,18-06-2020,ITM,put
9700,1174.5,20-05-2020,18-06-2020,ITM,put
9750,1229,20-05-2020,18-06-2020,ITM,put
9800,1278.1,20-05-2020,18-06-2020,ITM,put
9850,1330.35,20-05-2020,18-06-2020,ITM,put
9900,1382.6,20-05-2020,18-06-2020,ITM,put
9950,1436.7,20-05-2020,18-06-2020,ITM,put
10000,1490.75,20-05-2020,18-06-2020,ITM,put
10050,1546.65,20-05-2020,18-06-2020,ITM,put
10100,1597.95,20-05-2020,18-06-2020,ITM,put
10150,1652.25,20-05-2020,18-06-2020,ITM,put
10200,1715.25,20-05-2020,18-06-2020,ITM,put
10250,1761.15,20-05-2020,18-06-2020,ITM,put
10300,1822.05,20-05-2020,18-06-2020,ITM,put
10350,1876.1,20-05-2020,18-06-2020,ITM,put
10400,1951.4,20-05-2020,18-06-2020,ITM,put
10450,2000.95,20-05-2020,18-06-2020,ITM,put
10500,2061.4,20-05-2020,18-06-2020,ITM,put
10550,2111.25,20-05-2020,18-06-2020,ITM,put
10600,2164.2,20-05-2020,18-06-2020,ITM,put
10650,2240.25,20-05-2020,18-06-2020,ITM,put
10700,2271.5,20-05-2020,18-06-2020,ITM,put
10750,2326.1,20-05-2020,18-06-2020,ITM,put
10800,2383.15,20-05-2020,18-06-2020,ITM,put
10850,2435.3,20-05-2020,18-06-2020,ITM,put
10900,2489.1,20-05-2020,18-06-2020,ITM,put
10950,2567.85,20-05-2020,18-06-2020,ITM,put
11000,2622.45,20-05-2020,18-06-2020,ITM,put
