strike_price,premium,current_date,expiry_date,moneyness,option_type
8000,18,15-05-2020,28-05-2020,OTM,put
8100,22,15-05-2020,28-05-2020,OTM,put
8200,30,15-05-2020,28-05-2020,OTM,put
8300,36,15-05-2020,28-05-2020,OTM,put
8400,47,15-05-2020,28-05-2020,OTM,put
8500,60,15-05-2020,28-05-2020,OTM,put
8600,76,15-05-2020,28-05-2020,OTM,put
8700,98,15-05-2020,28-05-2020,OTM,put
8800,125,15-05-2020,28-05-2020,OTM,put
8900,158,15-05-2020,28-05-2020,OTM,put
9000,195,15-05-2020,28-05-2020,OTM,put
9100,241,15-05-2020,28-05-2020,ATM,put
9200,292,15-05-2020,28-05-2020,ITM,put
9300,351,15-05-2020,28-05-2020,ITM,put
9400,416,15-05-2020,28-05-2020,ITM,put
9500,488,15-05-2020,28-05-2020,ITM,put
9600,562,15-05-2020,28-05-2020,ITM,put
9700,645,15-05-2020,28-05-2020,ITM,put
9800,730,15-05-2020,28-05-2020,ITM,put
9900,820,15-05-2020,28-05-2020,ITM,put
10000,914,15-05-2020,28-05-2020,ITM,put
10100,1002,15-05-2020,28-05-2020,ITM,put
10200,1105,15-05-2020,28-05-2020,ITM,put
10300,1200,15-05-2020,28-05-2020,ITM,put
10400,1295,15-05-2020,28-05-2020,ITM,put
10500,1391,15-05-2020,28-05-2020,ITM,put
10600,1492,15-05-2020,28-05-2020,ITM,put
10700,1590,15-05-2020,28-05-2020,ITM,put
10800,1688,15-05-2020,28-05-2020,ITM,put
10900,1787,15-05-2020,28-05-2020,ITM,put
11000,1890,15-05-2020,28-05-2020,ITM,put
