strike_price,premium,current_date,expiry_date,moneyness,option_type
8000,1364.5,20-05-2020,11-06-2020,ITM,call
8050,1313,20-05-2020,11-06-2020,ITM,call
8100,1258.4,20-05-2020,11-06-2020,ITM,call
8150,1200.7,20-05-2020,11-06-2020,ITM,call
8200,1149.3,20-05-2020,11-06-2020,ITM,call
8250,1089.6,20-05-2020,11-06-2020,ITM,call
8300,1037.05,20-05-2020,11-06-2020,ITM,call
8350,982.65,20-05-2020,11-06-2020,ITM,call
8400,927.85,20-05-2020,11-06-2020,ITM,call
8450,873.45,20-05-2020,11-06-2020,ITM,call
8500,818.5,20-05-2020,11-06-2020,ITM,call
8550,1062,20-05-2020,11-06-2020,ITM,call
8600,951.85,20-05-2020,11-06-2020,ITM,call
8650,906.55,20-05-2020,11-06-2020,ITM,call
8700,899.8,20-05-2020,11-06-2020,ITM,call
8750,830.65,20-05-2020,11-06-2020,ITM,call
8800,748.2,20-05-2020,11-06-2020,ITM,call
8850,746,20-05-2020,11-06-2020,ITM,call
8900,685.85,20-05-2020,11-06-2020,ITM,call
8950,624,20-05-2020,11-06-2020,ITM,call
9000,577.35,20-05-2020,11-06-2020,ITM,call
9050,766.85,20-05-2020,11-06-2020,ITM,call
9100,558.9,20-05-2020,11-06-2020,ATM,call
9150,553.1,20-05-2020,11-06-2020,OTM,call
9200,561,20-05-2020,11-06-2020,OTM,call
9250,561,20-05-2020,11-06-2020,OTM,call
9300,561,20-05-2020,11-06-2020,OTM,call
9350,561,20-05-2020,11-06-2020,OTM,call
9400,561,20-05-2020,11-06-2020,OTM,call
9450,561,20-05-2020,11-06-2020,OTM,call
9500,100,20-05-2020,11-06-2020,OTM,call
9550,0,20-05-2020,11-06-2020,OTM,call
9600,0,20-05-2020,11-06-2020,OTM,call
9650,0,20-05-2020,11-06-2020,OTM,call
9700,128.85,20-05-2020,11-06-2020,OTM,call
9750,128.85,20-05-2020,11-06-2020,OTM,call
9800,128.85,20-05-2020,11-06-2020,OTM,call
9850,224.35,20-05-2020,11-06-2020,OTM,call
9900,159.15,20-05-2020,11-06-2020,OTM,call
9950,224.35,20-05-2020,11-06-2020,OTM,call
10000,98.95,20-05-2020,11-06-2020,OTM,call
10050,127.2,20-05-2020,11-06-2020,OTM,call
10100,127.65,20-05-2020,11-06-2020,OTM,call
10150,127.65,20-05-2020,11-06-2020,OTM,call
10200,157.85,20-05-2020,11-06-2020,OTM,call
10250,127.75,20-05-2020,11-06-2020,OTM,call
10300,157.85,20-05-2020,11-06-2020,OTM,call
10350,127.75,20-05-2020,11-06-2020,OTM,call
10400,157.85,20-05-2020,11-06-2020,OTM,call
10450,127.75,20-05-2020,11-06-2020,OTM,call
10500,40,20-05-2020,11-06-2020,OTM,call
10550,65.5,20-05-2020,11-06-2020,OTM,call
10600,168.7,20-05-2020,11-06-2020,OTM,call
10650,65.5,20-05-2020,11-06-2020,OTM,call
10700,65.5,20-05-2020,11-06-2020,OTM,call
10750,0,20-05-2020,11-06-2020,OTM,call
10800,65.5,20-05-2020,11-06-2020,OTM,call
10850,65.5,20-05-2020,11-06-2020,OTM,call
10900,65.5,20-05-2020,11-06-2020,OTM,call
10950,0,20-05-2020,11-06-2020,OTM,call
11000,28,20-05-2020,11-06-2020,OTM,call
