strike_price,premium,current_date,expiry_date,moneyness,option_type
8000,1289.55,20-05-2020,18-06-2020,ITM,call
8050,1281.85,20-05-2020,18-06-2020,ITM,call
8100,1195.05,20-05-2020,18-06-2020,ITM,call
8150,1183.45,20-05-2020,18-06-2020,ITM,call
8200,1099.4,20-05-2020,18-06-2020,ITM,call
8250,1095.4,20-05-2020,18-06-2020,ITM,call
8300,1006.8,20-05-2020,18-06-2020,ITM,call
8350,1009.2,20-05-2020,18-06-2020,ITM,call
8400,917.25,20-05-2020,18-06-2020,ITM,call
8450,919.6,20-05-2020,18-06-2020,ITM,call
8500,831.1,20-05-2020,18-06-2020,ITM,call
8550,840.2,20-05-2020,18-06-2020,ITM,call
8600,758.9,20-05-2020,18-06-2020,ITM,call
8650,767.2,20-05-2020,18-06-2020,ITM,call
8700,670.75,20-05-2020,18-06-2020,ITM,call
8750,697.45,20-05-2020,18-06-2020,ITM,call
8800,597.55,20-05-2020,18-06-2020,ITM,call
8850,587.75,20-05-2020,18-06-2020,ITM,call
8900,530.75,20-05-2020,18-06-2020,ITM,call
8950,549.6,20-05-2020,18-06-2020,ITM,call
9000,455.85,20-05-2020,18-06-2020,ITM,call
9050,431.1,20-05-2020,18-06-2020,ITM,call
9100,450,20-05-2020,18-06-2020,ATM,call
9150,498.9,20-05-2020,18-06-2020,OTM,call
9200,510.25,20-05-2020,18-06-2020,OTM,call
9250,510.3,20-05-2020,18-06-2020,OTM,call
9300,510.3,20-05-2020,18-06-2020,OTM,call
9350,500.85,20-05-2020,18-06-2020,OTM,call
9400,0,20-05-2020,18-06-2020,OTM,call
9450,0,20-05-2020,18-06-2020,OTM,call
9500,0,20-05-2020,18-06-2020,OTM,call
9550,0,20-05-2020,18-06-2020,OTM,call
9600,0,20-05-2020,18-06-2020,OTM,call
9650,0,20-05-2020,18-06-2020,OTM,call
9700,0,20-05-2020,18-06-2020,OTM,call
9750,0,20-05-2020,18-06-2020,OTM,call
9800,0,20-05-2020,18-06-2020,OTM,call
9850,0,20-05-2020,18-06-2020,OTM,call
9900,0,20-05-2020,18-06-2020,OTM,call
9950,0,20-05-2020,18-06-2020,OTM,call
10000,0,20-05-2020,18-06-2020,OTM,call
10050,0,20-05-2020,18-06-2020,OTM,call
10100,0,20-05-2020,18-06-2020,OTM,call
10150,0,20-05-2020,18-06-2020,OTM,call
10200,0,20-05-2020,18-06-2020,OTM,call
10250,0,20-05-2020,18-06-2020,OTM,call
10300,0,20-05-2020,18-06-2020,OTM,call
10350,0,20-05-2020,18-06-2020,OTM,call
10400,0,20-05-2020,18-06-2020,OTM,call
10450,0,20-05-2020,18-06-2020,OTM,call
10500,0,20-05-2020,18-06-2020,OTM,call
10550,0,20-05-2020,18-06-2020,OTM,call
10600,0,20-05-2020,18-06-2020,OTM,call
10650,0,20-05-2020,18-06-2020,OTM,call
10700,41.3,20-05-2020,18-06-2020,OTM,call
10750,41.3,20-05-2020,18-06-2020,OTM,call
10800,37.05,20-05-2020,18-06-2020,OTM,call
10850,37.3,20-05-2020,18-06-2020,OTM,call
10900,37.3,20-05-2020,18-06-2020,OTM,call
10950,152.35,20-05-2020,18-06-2020,OTM,call
11000,34.3,20-05-2020,18-06-2020,OTM,call
