strike_price,premium,current_date,expiry_date,moneyness,option_type
8000,1171,20-05-2020,04-06-2020,ITM,call
8050,1164.4,20-05-2020,04-06-2020,ITM,call
8100,1109.8,20-05-2020,04-06-2020,ITM,call
8150,1102.2,20-05-2020,04-06-2020,ITM,call
8200,1049.65,20-05-2020,04-06-2020,ITM,call
8250,994.95,20-05-2020,04-06-2020,ITM,call
8300,948.9,20-05-2020,04-06-2020,ITM,call
8350,848.4,20-05-2020,04-06-2020,ITM,call
8400,791.55,20-05-2020,04-06-2020,ITM,call
8450,784.35,20-05-2020,04-06-2020,ITM,call
8500,693.9,20-05-2020,04-06-2020,ITM,call
8550,681.5,20-05-2020,04-06-2020,ITM,call
8600,605.4,20-05-2020,04-06-2020,ITM,call
8650,591.4,20-05-2020,04-06-2020,ITM,call
8700,569.1,20-05-2020,04-06-2020,ITM,call
8750,510.5,20-05-2020,04-06-2020,ITM,call
8800,418.9,20-05-2020,04-06-2020,ITM,call
8850,442.15,20-05-2020,04-06-2020,ITM,call
8900,345.35,20-05-2020,04-06-2020,ITM,call
8950,376.05,20-05-2020,04-06-2020,ITM,call
9000,271.65,20-05-2020,04-06-2020,ITM,call
9050,515.9,20-05-2020,04-06-2020,ITM,call
9100,216,20-05-2020,04-06-2020,ATM,call
9150,0,20-05-2020,04-06-2020,OTM,call
9200,176.05,20-05-2020,04-06-2020,OTM,call
9250,0,20-05-2020,04-06-2020,OTM,call
9300,126,20-05-2020,04-06-2020,OTM,call
9350,0,20-05-2020,04-06-2020,OTM,call
9400,98.4,20-05-2020,04-06-2020,OTM,call
9450,90,20-05-2020,04-06-2020,OTM,call
9500,69.8,20-05-2020,04-06-2020,OTM,call
9550,0,20-05-2020,04-06-2020,OTM,call
9600,46.95,20-05-2020,04-06-2020,OTM,call
9650,0,20-05-2020,04-06-2020,OTM,call
9700,48.1,20-05-2020,04-06-2020,OTM,call
9750,69.6,20-05-2020,04-06-2020,OTM,call
9800,27.95,20-05-2020,04-06-2020,OTM,call
9850,99.95,20-05-2020,04-06-2020,OTM,call
9900,30,20-05-2020,04-06-2020,OTM,call
9950,45.2,20-05-2020,04-06-2020,OTM,call
10000,11.75,20-05-2020,04-06-2020,OTM,call
10050,41.05,20-05-2020,04-06-2020,OTM,call
10100,18,20-05-2020,04-06-2020,OTM,call
10150,66.8,20-05-2020,04-06-2020,OTM,call
10200,22,20-05-2020,04-06-2020,OTM,call
10250,93.85,20-05-2020,04-06-2020,OTM,call
10300,30,20-05-2020,04-06-2020,OTM,call
10350,0,20-05-2020,04-06-2020,OTM,call
10400,23.5,20-05-2020,04-06-2020,OTM,call
10450,0,20-05-2020,04-06-2020,OTM,call
10500,6.8,20-05-2020,04-06-2020,OTM,call
10550,28.4,20-05-2020,04-06-2020,OTM,call
10600,20,20-05-2020,04-06-2020,OTM,call
10650,0,20-05-2020,04-06-2020,OTM,call
10700,20,20-05-2020,04-06-2020,OTM,call
10750,0,20-05-2020,04-06-2020,OTM,call
10800,20,20-05-2020,04-06-2020,OTM,call
10850,0,20-05-2020,04-06-2020,OTM,call
10900,25,20-05-2020,04-06-2020,OTM,call
10950,0,20-05-2020,04-06-2020,OTM,call
11000,20,20-05-2020,04-06-2020,OTM,call
