strike_price,new_premium
8000,1325.642072898485
8050,1315.0755548417044
8100,1247.217385283787
8150,1211.0330207132868
8200,1120.8937594046968
8250,1106.7755257759593
8300,1011.1081281174947
8350,976.5279781960123
8400,895.6877511212554
8450,857.1541969916356
8500,768.3723682931901
8550,741.667174185753
8600,654.2611631266584
8650,627.2965368424628
8700,548.855728201111
8750,499.97846976596065
8800,435.6750471812769
8850,346.93616842915037
8900,338.7400992231101
8950,312.05770312483463
9000,253.8559281728407
9050,211.10016756747905
9100,173.75581795682177
9150,135.78927376765407
9200,99.16853020039811
9250,62.86351826450932
9300,35.84625916926261
9350,6.090899348172851
9400,0.0
9450,0.0
9500,0.0
9550,0.0
9600,0.0
9650,0.0
9700,0.0
9750,0.0
9800,0.0
9850,0.0
9900,0.0
9950,0.0
10000,0.0
10050,0.0
10100,0.0
10150,0.0
10200,0.0
10250,0.0
10300,0.0
10350,0.0
10400,0.0
10450,0.0
10500,0.0
