strike_price,new_premium,Old Premium,Change,current_date,Date of New Premium,Expiry Date
8000,1373.1906847756131,1364.5,8.690684775613136,20-05-2020,22-05-2020,11-06-2020
8050,1321.49190483009,1313,8.491904830090107,20-05-2020,22-05-2020,11-06-2020
8100,1265.791447430387,1258.4,7.391447430386961,20-05-2020,22-05-2020,11-06-2020
8150,1207.0911080807905,1200.7,6.3911080807904455,20-05-2020,22-05-2020,11-06-2020
8200,1155.392684826019,1149.3,6.092684826018967,20-05-2020,22-05-2020,11-06-2020
8250,1094.6979668209112,1089.6,5.097966820911324,20-05-2020,22-05-2020,11-06-2020
8300,1042.008723150854,1037.05,4.958723150853984,20-05-2020,22-05-2020,11-06-2020
8350,986.32669200627,982.65,3.676692006270059,20-05-2020,22-05-2020,11-06-2020
8400,930.6535703069292,927.85,2.8035703069291458,20-05-2020,22-05-2020,11-06-2020
8450,875.9910038633191,873.45,2.5410038633190197,20-05-2020,22-05-2020,11-06-2020
8500,820.340578153058,818.5,1.8405781530580043,20-05-2020,22-05-2020,11-06-2020
8550,1063.7038097804618,1062,1.7038097804618246,20-05-2020,22-05-2020,11-06-2020
8600,952.0821386771282,951.85,0.23213867712820502,20-05-2020,22-05-2020,11-06-2020
8650,906.4769210908942,906.55,-0.07307890910578863,20-05-2020,22-05-2020,11-06-2020
8700,898.8894233999545,899.8,-0.9105766000454878,20-05-2020,22-05-2020,11-06-2020
8750,829.3208167784367,830.65,-1.3291832215633121,20-05-2020,22-05-2020,11-06-2020
8800,746.7721727294615,748.2,-1.4278272705385007,20-05-2020,22-05-2020,11-06-2020
8850,744.2444594918005,746,-1.7555405081994877,20-05-2020,22-05-2020,11-06-2020
8900,682.7385393167998,685.85,-3.111460683200221,20-05-2020,22-05-2020,11-06-2020
8950,621.2551666033542,624,-2.744833396645845,20-05-2020,22-05-2020,11-06-2020
9000,573.7949868704912,577.35,-3.5550131295087795,20-05-2020,22-05-2020,11-06-2020
9050,762.3585365396132,766.85,-4.4914634603868535,20-05-2020,22-05-2020,11-06-2020
9100,553.9462434917044,558.9,-4.953756508295555,20-05-2020,22-05-2020,11-06-2020
9150,548.5584283588879,553.1,-4.541571641112114,20-05-2020,22-05-2020,11-06-2020
9200,556.1953065046064,561,-4.804693495393622,20-05-2020,22-05-2020,11-06-2020
9250,555.8569906424505,561,-5.143009357549545,20-05-2020,22-05-2020,11-06-2020
9300,555.5434940402253,561,-5.456505959774745,20-05-2020,22-05-2020,11-06-2020
9350,555.254734253242,561,-5.745265746758037,20-05-2020,22-05-2020,11-06-2020
9400,554.9905373290073,561,-6.0094626709926615,20-05-2020,22-05-2020,11-06-2020
9450,554.7506424244241,561,-6.249357575575914,20-05-2020,22-05-2020,11-06-2020
9500,93.53470677627527,100,-6.4652932237247285,20-05-2020,22-05-2020,11-06-2020
9550,0.0,0,0.0,20-05-2020,22-05-2020,11-06-2020
9600,0.0,0,0.0,20-05-2020,22-05-2020,11-06-2020
9650,0.0,0,0.0,20-05-2020,22-05-2020,11-06-2020
9700,120.90113528146199,128.85,-7.948864718538005,20-05-2020,22-05-2020,11-06-2020
9750,120.79736747712292,128.85,-8.052632522877076,20-05-2020,22-05-2020,11-06-2020
9800,120.71409030402839,128.85,-8.135909695971606,20-05-2020,22-05-2020,11-06-2020
9850,216.65054438158998,224.35,-7.699455618410013,20-05-2020,22-05-2020,11-06-2020
9900,151.60593414512098,159.15,-7.5440658548790225,20-05-2020,22-05-2020,11-06-2020
9950,216.57943355780526,224.35,-7.770566442194735,20-05-2020,22-05-2020,11-06-2020
10000,90.57019168235162,98.95,-8.379808317648383,20-05-2020,22-05-2020,11-06-2020
10050,119.57733808030137,127.2,-7.622661919698629,20-05-2020,22-05-2020,11-06-2020
10100,119.59998801071063,127.65,-8.050011989289374,20-05-2020,22-05-2020,11-06-2020
10150,119.6372474036692,127.65,-8.012752596330799,20-05-2020,22-05-2020,11-06-2020
10200,149.68821758780334,157.85,-8.161782412196658,20-05-2020,22-05-2020,11-06-2020
10250,119.75199975450448,127.75,-7.998000245495518,20-05-2020,22-05-2020,11-06-2020
10300,149.82769914510033,157.85,-8.022300854899669,20-05-2020,22-05-2020,11-06-2020
10350,119.91442895050851,127.75,-7.835571049491492,20-05-2020,22-05-2020,11-06-2020
10400,150.01131391606646,157.85,-7.838686083933538,20-05-2020,22-05-2020,11-06-2020
10450,120.11749364719432,127.75,-7.632506352805677,20-05-2020,22-05-2020,11-06-2020
10500,33.23212561430546,40,-6.76787438569454,20-05-2020,22-05-2020,11-06-2020
10550,58.35438785792263,65.5,-7.145612142077368,20-05-2020,22-05-2020,11-06-2020
10600,161.48348139727878,168.7,-7.216518602721209,20-05-2020,22-05-2020,11-06-2020
10650,58.61863234777465,65.5,-6.88136765222535,20-05-2020,22-05-2020,11-06-2020
10700,58.75909375453355,65.5,-6.740906245466448,20-05-2020,22-05-2020,11-06-2020
10750,0.0,0,0.0,20-05-2020,22-05-2020,11-06-2020
10800,59.05310385242482,65.5,-6.446896147575181,20-05-2020,22-05-2020,11-06-2020
10850,59.205305997121215,65.5,-6.294694002878785,20-05-2020,22-05-2020,11-06-2020
10900,59.360127345701,65.5,-6.139872654298998,20-05-2020,22-05-2020,11-06-2020
10950,0.0,0,0.0,20-05-2020,22-05-2020,11-06-2020
11000,22.67528403148824,28,-5.324715968511761,20-05-2020,22-05-2020,11-06-2020
