strike_price,new_premium
8000,29.744671523448737
8050,31.532500810765768
8100,30.318864265219695
8150,29.056926346770272
8200,25.93573677658749
8250,22.71477937729401
8300,15.677832821099887
8350,3.408400641449484
8400,0.0
8450,0.0
8500,0.0
8550,0.0
8600,0.0
8650,0.0
8700,0.0
8750,0.0
8800,0.0
8850,0.0
8900,0.0
8950,0.0
9000,0.0
9050,0.0
9100,0.0
9150,0.0
9200,3.08865000890005
9250,28.678227095545047
9300,37.59714647978167
9350,57.81658531850718
9400,83.30992983903293
9450,0.0
9500,133.0225206759668
9550,159.19885129433868
9600,190.56299607574812
9650,216.09789292339525
9700,257.7879921852474
9750,277.6191265269299
9800,327.57838837101144
9850,362.654015864409
9900,394.8352877190849
9950,437.11242686834714
10000,480.47651262680773
10050,494.91940089032323
10100,540.4336518305333
10150,624.0124645040232
10200,645.6496177926144
10250,704.339417107639
10300,741.0766463195046
10350,872.8565244091055
10400,794.6746663760359
10450,865.5270479777671
10500,910.409973912362
