strike_price,new_premium,Old Premium,Change,current_date,Date of New Premium,Expiry Date
8000,126.9863418168591,140,-13.013658183140905,20-05-2020,22-05-2020,11-06-2020
8050,0.0,0,0.0,20-05-2020,22-05-2020,11-06-2020
8100,0.0,0,0.0,20-05-2020,22-05-2020,11-06-2020
8150,0.0,0,0.0,20-05-2020,22-05-2020,11-06-2020
8200,248.9843701806567,265.2,-16.21562981934329,20-05-2020,22-05-2020,11-06-2020
8250,457.23169920237257,474.05,-16.818300797627444,20-05-2020,22-05-2020,11-06-2020
8300,422.48189521082725,440,-17.518104789172753,20-05-2020,22-05-2020,11-06-2020
8350,521.7367995562411,540,-18.263200443758933,20-05-2020,22-05-2020,11-06-2020
8400,420.99821994904636,440,-19.00178005095364,20-05-2020,22-05-2020,11-06-2020
8450,192.26792003166844,212.7,-20.43207996833155,20-05-2020,22-05-2020,11-06-2020
8500,158.54760953031658,179.95,-21.40239046968341,20-05-2020,22-05-2020,11-06-2020
8550,493.8389350608243,515.2,-21.36106493917572,20-05-2020,22-05-2020,11-06-2020
8600,500.1434716523902,522.85,-22.706528347609833,20-05-2020,22-05-2020,11-06-2020
8650,492.46271504257055,515.2,-22.737284957429495,20-05-2020,22-05-2020,11-06-2020
8700,491.7980747862399,515.2,-23.401925213760137,20-05-2020,22-05-2020,11-06-2020
8750,498.15086821061533,522.85,-24.699131789384694,20-05-2020,22-05-2020,11-06-2020
8800,490.5223152379905,515.2,-24.677684762009562,20-05-2020,22-05-2020,11-06-2020
8850,489.91353408767003,515.2,-25.286465912330016,20-05-2020,22-05-2020,11-06-2020
8900,496.32553785887126,522.9,-26.57446214112872,20-05-2020,22-05-2020,11-06-2020
8950,442.7592319871512,469.7,-26.940768012848764,20-05-2020,22-05-2020,11-06-2020
9000,400.21541255834103,427.1,-26.884587441658994,20-05-2020,22-05-2020,11-06-2020
9050,979.6947654560696,1007.1,-27.40523454393042,20-05-2020,22-05-2020,11-06-2020
9100,560.1978663118239,588.45,-28.252133688176173,20-05-2020,22-05-2020,11-06-2020
9150,614.7251812201401,643.15,-28.424818779859834,20-05-2020,22-05-2020,11-06-2020
9200,457.27706817599915,486.3,-29.022931824000864,20-05-2020,22-05-2020,11-06-2020
9250,722.8537791868008,752.55,-29.696220813199147,20-05-2020,22-05-2020,11-06-2020
9300,777.4554630074496,807.25,-29.794536992550434,20-05-2020,22-05-2020,11-06-2020
9350,832.0821684440428,862.5,-30.41783155595715,20-05-2020,22-05-2020,11-06-2020
9400,821.7338481694396,852.8,-31.06615183056033,20-05-2020,22-05-2020,11-06-2020
9450,875.4103629925263,906.85,-31.43963700747372,20-05-2020,22-05-2020,11-06-2020
9500,0.0,0,0.0,20-05-2020,22-05-2020,11-06-2020
9550,604.8369101677141,636.5,-31.66308983228589,20-05-2020,22-05-2020,11-06-2020
9600,659.5862484153163,691.05,-31.463751584683678,20-05-2020,22-05-2020,11-06-2020
9650,713.3590443269229,745.7,-32.34095567307713,20-05-2020,22-05-2020,11-06-2020
9700,768.1547752024768,800.3,-32.145224797523156,20-05-2020,22-05-2020,11-06-2020
9750,823.9728583544243,856.05,-32.07714164557569,20-05-2020,22-05-2020,11-06-2020
9800,976.8126569429854,1009.95,-33.13734305701462,20-05-2020,22-05-2020,11-06-2020
9850,963.673485824436,996.6,-32.926514175563966,20-05-2020,22-05-2020,11-06-2020
9900,1086.5546173676942,1119,-32.44538263230584,20-05-2020,22-05-2020,11-06-2020
9950,1140.455287197881,1173.65,-33.19471280211906,20-05-2020,22-05-2020,11-06-2020
10000,1079.374699829061,1112.35,-32.97530017093891,20-05-2020,22-05-2020,11-06-2020
10050,1133.3120341519907,1166.95,-33.637965848009344,20-05-2020,22-05-2020,11-06-2020
10100,1180.2664487464165,1213.65,-33.38355125358362,20-05-2020,22-05-2020,11-06-2020
10150,1241.2370869911465,1274.65,-33.41291300885359,20-05-2020,22-05-2020,11-06-2020
10200,1285.223081948804,1318.4,-33.176918051196026,20-05-2020,22-05-2020,11-06-2020
10250,1361.2235610057623,1394.75,-33.52643899423765,20-05-2020,22-05-2020,11-06-2020
10300,1387.2376502512593,1420.2,-32.962349748740735,20-05-2020,22-05-2020,11-06-2020
10350,1477.2644785830585,1510.3,-33.03552141694149,20-05-2020,22-05-2020,11-06-2020
10400,1490.3031815302218,1523.85,-33.546818469778145,20-05-2020,22-05-2020,11-06-2020
10450,1534.3529047866068,1567.65,-33.29709521339328,20-05-2020,22-05-2020,11-06-2020
10500,1569.4128074515174,1602.4,-32.98719254848265,20-05-2020,22-05-2020,11-06-2020
10550,1642.4820649765918,1675.45,-32.967935023408245,20-05-2020,22-05-2020,11-06-2020
10600,1696.5598718204149,1729,-32.440128179585145,20-05-2020,22-05-2020,11-06-2020
10650,1750.6454438145456,1783,-32.354556185454385,20-05-2020,22-05-2020,11-06-2020
10700,1800.7380202466272,1833.15,-32.41197975337286,20-05-2020,22-05-2020,11-06-2020
10750,1852.8368656679995,1885.9,-33.06313433200057,20-05-2020,22-05-2020,11-06-2020
10800,1906.9412714347704,1939.35,-32.40872856522947,20-05-2020,22-05-2020,11-06-2020
10850,1956.0505569926208,1988.1,-32.04944300737907,20-05-2020,22-05-2020,11-06-2020
10900,2032.1640709167373,2064.1,-31.935929083262636,20-05-2020,22-05-2020,11-06-2020
10950,2084.2811917191734,2116.3,-32.01880828082676,20-05-2020,22-05-2020,11-06-2020
11000,2104.401328436677,2136.7,-32.29867156332284,20-05-2020,22-05-2020,11-06-2020
