strike_price,new_premium
8000,37.51891261709096
8100,39.44682462613241
8200,40.546751187317994
8300,32.989410256778555
8400,24.167284994242877
8500,12.968651256077372
8600,2.60065074101405
8700,0.0
8800,0.0
8900,7.792180545456613
9000,22.43237555509922
9100,48.033372913059075
9200,80.5160453868287
9300,122.72703242703687
9400,172.48261267435626
9500,230.5942954933187
9600,291.8826428529769
9700,363.18388948778266
9800,437.35235283086956
9900,517.2605065088995
10000,601.7978516247368
10100,680.8692507520436
10200,775.3931002974846
10300,862.2995427508768
10400,949.5288179069533
10500,1038.0297934934747
10600,1131.7586832917032
10700,1222.6779440181726
10800,1313.755334407405
10900,1405.9631171644596
11000,1502.277384413861
