strike_price,new_premium,Old Premium,Change,current_date,Date of New Premium,Expiry Date
8000,6.051655593880714,18.8,-12.748344406119287,20-05-2020,22-05-2020,04-06-2020
8050,0.0,0,0.0,20-05-2020,22-05-2020,04-06-2020
8100,41.13299903056101,55.9,-14.767000969438989,20-05-2020,22-05-2020,04-06-2020
8150,87.15159887836842,102.25,-15.098401121631582,20-05-2020,22-05-2020,04-06-2020
8200,16.16006348807223,32,-15.839936511927771,20-05-2020,22-05-2020,04-06-2020
8250,75.16196936903198,92.1,-16.938030630968015,20-05-2020,22-05-2020,04-06-2020
8300,45.160968070182136,63.9,-18.739031929817862,20-05-2020,22-05-2020,04-06-2020
8350,55.16075314265567,74.25,-19.089246857344328,20-05-2020,22-05-2020,04-06-2020
8400,27.165026872736412,47.65,-20.484973127263586,20-05-2020,22-05-2020,04-06-2020
8450,0.0,0,0.0,20-05-2020,22-05-2020,04-06-2020
8500,36.20169564481243,58,-21.798304355187568,20-05-2020,22-05-2020,04-06-2020
8550,0.0,0,0.0,20-05-2020,22-05-2020,04-06-2020
8600,51.299532937687374,75,-23.700467062312626,20-05-2020,22-05-2020,04-06-2020
8650,0.0,0,0.0,20-05-2020,22-05-2020,04-06-2020
8700,75.48523133151636,101.75,-26.26476866848364,20-05-2020,22-05-2020,04-06-2020
8750,0.0,0,0.0,20-05-2020,22-05-2020,04-06-2020
8800,96.78276662868606,124.05,-27.267233371313935,20-05-2020,22-05-2020,04-06-2020
8850,0.0,0,0.0,20-05-2020,22-05-2020,04-06-2020
8900,127.21270242104309,156.05,-28.83729757895692,20-05-2020,22-05-2020,04-06-2020
8950,0.0,0,0.0,20-05-2020,22-05-2020,04-06-2020
9000,158.79167527330387,189.9,-31.10832472669614,20-05-2020,22-05-2020,04-06-2020
9050,388.1410925618238,419.1,-30.958907438176198,20-05-2020,22-05-2020,04-06-2020
9100,203.53207303230403,235.4,-31.86792696769598,20-05-2020,22-05-2020,04-06-2020
9150,0.0,0,0.0,20-05-2020,22-05-2020,04-06-2020
9200,267.4419064972659,300.05,-32.60809350273411,20-05-2020,22-05-2020,04-06-2020
9250,379.9616780597864,413.85,-33.88832194021364,20-05-2020,22-05-2020,04-06-2020
9300,343.5248637246299,377.9,-34.375136275370096,20-05-2020,22-05-2020,04-06-2020
9350,0.0,0,0.0,20-05-2020,22-05-2020,04-06-2020
9400,411.7805272237231,446.9,-35.11947277627689,20-05-2020,22-05-2020,04-06-2020
9450,0.0,0,0.0,20-05-2020,22-05-2020,04-06-2020
9500,490.20472761322867,525.2,-34.995272386771376,20-05-2020,22-05-2020,04-06-2020
9550,579.9778117294462,615.45,-35.47218827055383,20-05-2020,22-05-2020,04-06-2020
9600,595.7900031000511,631.6,-35.80999689994894,20-05-2020,22-05-2020,04-06-2020
9650,660.6399420777398,696.3,-35.660057922260194,20-05-2020,22-05-2020,04-06-2020
9700,699.526132345877,735.3,-35.77386765412291,20-05-2020,22-05-2020,04-06-2020
9750,752.4469593470714,788.7,-36.25304065292869,20-05-2020,22-05-2020,04-06-2020
9800,797.4007086652955,833.15,-35.74929133470448,20-05-2020,22-05-2020,04-06-2020
9850,937.3855841630929,973.85,-36.464415836907165,20-05-2020,22-05-2020,04-06-2020
9900,992.3997256934604,1028.45,-36.05027430653968,20-05-2020,22-05-2020,04-06-2020
9950,1052.4412262251917,1088.2,-35.75877377480833,20-05-2020,22-05-2020,04-06-2020
10000,955.5081482403882,991.25,-35.74185175961179,20-05-2020,22-05-2020,04-06-2020
10050,1082.5985392830983,1118.4,-35.80146071690183,20-05-2020,22-05-2020,04-06-2020
10100,1141.71044655829,1177.1,-35.38955344170995,20-05-2020,22-05-2020,04-06-2020
10150,1190.8419305002492,1226.85,-36.00806949975072,20-05-2020,22-05-2020,04-06-2020
10200,1249.9910772487751,1285.1,-35.10892275122478,20-05-2020,22-05-2020,04-06-2020
10250,1298.156009989932,1333.5,-35.343990010067955,20-05-2020,22-05-2020,04-06-2020
10300,1356.334899135457,1391.45,-35.11510086454314,20-05-2020,22-05-2020,04-06-2020
10350,1398.5259713310004,1433.85,-35.32402866899952,20-05-2020,22-05-2020,04-06-2020
10400,1444.727517298119,1479.25,-34.52248270188102,20-05-2020,22-05-2020,04-06-2020
10450,1498.9378985281983,1533.85,-34.912101471801634,20-05-2020,22-05-2020,04-06-2020
10500,1535.1555528582724,1569.65,-34.49444714172773,20-05-2020,22-05-2020,04-06-2020
10550,1590.3789989689353,1624.25,-33.87100103106468,20-05-2020,22-05-2020,04-06-2020
10600,1659.6068398532607,1693.8,-34.193160146739274,20-05-2020,22-05-2020,04-06-2020
10650,1714.8377653128596,1748.4,-33.56223468714052,20-05-2020,22-05-2020,04-06-2020
10700,1785.0705535429886,1818.45,-33.379446457011454,20-05-2020,22-05-2020,04-06-2020
10750,1839.3040718730035,1872.7,-33.39592812699652,20-05-2020,22-05-2020,04-06-2020
10800,1888.5372767315705,1921.15,-32.61272326842959,20-05-2020,22-05-2020,04-06-2020
10850,1955.7692129079294,1988.45,-32.68078709207066,20-05-2020,22-05-2020,04-06-2020
10900,2011.999012181331,2044.6,-32.600987818668955,20-05-2020,22-05-2020,04-06-2020
10950,2055.225891390562,2087.7,-32.474108609437735,20-05-2020,22-05-2020,04-06-2020
11000,2104.449150014431,2136.85,-32.40084998556904,20-05-2020,22-05-2020,04-06-2020
