strike_price,new_premium,Old Premium,Change,current_date,Date of New Premium,Expiry Date
8000,940.5717101584709,1171,-230.42828984152914,20-05-2020,24-05-2020,04-06-2020
8050,940.7195678713396,1164.4,-223.68043212866053,20-05-2020,24-05-2020,04-06-2020
8100,892.8321695785207,1109.8,-216.96783042147922,20-05-2020,24-05-2020,04-06-2020
8150,892.6997066695516,1102.2,-209.50029333044847,20-05-2020,24-05-2020,04-06-2020
8200,846.1902035597188,1049.65,-203.45979644028125,20-05-2020,24-05-2020,04-06-2020
8250,797.2308130678549,994.95,-197.71918693214513,20-05-2020,24-05-2020,04-06-2020
8300,756.7903258005143,948.9,-192.10967419948565,20-05-2020,24-05-2020,04-06-2020
8350,661.8651522504333,848.4,-186.53484774956667,20-05-2020,24-05-2020,04-06-2020
8400,609.4689824705093,791.55,-182.08101752949062,20-05-2020,24-05-2020,04-06-2020
8450,606.6255539058121,784.35,-177.7244460941879,20-05-2020,24-05-2020,04-06-2020
8500,519.3637898661723,693.9,-174.5362101338277,20-05-2020,24-05-2020,04-06-2020
8550,510.71464378132436,681.5,-170.78535621867564,20-05-2020,24-05-2020,04-06-2020
8600,437.70912540141956,605.4,-167.69087459858042,20-05-2020,24-05-2020,04-06-2020
8650,426.3771237763111,591.4,-165.02287622368885,20-05-2020,24-05-2020,04-06-2020
8700,406.7467552035659,569.1,-162.35324479643413,20-05-2020,24-05-2020,04-06-2020
8750,349.84404942413744,510.5,-160.65595057586256,20-05-2020,24-05-2020,04-06-2020
8800,259.69284825641637,418.9,-159.2071517435836,20-05-2020,24-05-2020,04-06-2020
8850,285.31483321051667,442.15,-156.8351667894833,20-05-2020,24-05-2020,04-06-2020
8900,189.72962750865582,345.35,-155.6203724913442,20-05-2020,24-05-2020,04-06-2020
8950,221.95493736847575,376.05,-154.09506263152426,20-05-2020,24-05-2020,04-06-2020
9000,118.0067103385452,271.65,-153.6432896614548,20-05-2020,24-05-2020,04-06-2020
9050,362.8992970014142,515.9,-153.00070299858578,20-05-2020,24-05-2020,04-06-2020
9100,64.64560792680881,216,-151.3543920731912,20-05-2020,24-05-2020,04-06-2020
9150,0.0,0,0.0,20-05-2020,24-05-2020,04-06-2020
9200,25.744719357174755,176.05,-150.30528064282527,20-05-2020,24-05-2020,04-06-2020
9250,0.0,0,0.0,20-05-2020,24-05-2020,04-06-2020
9300,0.0,126,-126.0,20-05-2020,24-05-2020,04-06-2020
9350,0.0,0,0.0,20-05-2020,24-05-2020,04-06-2020
9400,0.0,98.4,-98.4,20-05-2020,24-05-2020,04-06-2020
9450,0.0,90,-90.0,20-05-2020,24-05-2020,04-06-2020
9500,0.0,69.8,-69.8,20-05-2020,24-05-2020,04-06-2020
9550,0.0,0,0.0,20-05-2020,24-05-2020,04-06-2020
9600,0.0,46.95,-46.95,20-05-2020,24-05-2020,04-06-2020
9650,0.0,0,0.0,20-05-2020,24-05-2020,04-06-2020
9700,0.0,48.1,-48.1,20-05-2020,24-05-2020,04-06-2020
9750,0.0,69.6,-69.6,20-05-2020,24-05-2020,04-06-2020
9800,0.0,27.95,-27.95,20-05-2020,24-05-2020,04-06-2020
9850,0.0,99.95,-99.95,20-05-2020,24-05-2020,04-06-2020
9900,0.0,30,-30.0,20-05-2020,24-05-2020,04-06-2020
9950,0.0,45.2,-45.2,20-05-2020,24-05-2020,04-06-2020
10000,0.0,11.75,-11.75,20-05-2020,24-05-2020,04-06-2020
10050,0.0,41.05,-41.05,20-05-2020,24-05-2020,04-06-2020
10100,0.0,18,-18.0,20-05-2020,24-05-2020,04-06-2020
10150,0.0,66.8,-66.8,20-05-2020,24-05-2020,04-06-2020
10200,0.0,22,-22.0,20-05-2020,24-05-2020,04-06-2020
10250,0.0,93.85,-93.85,20-05-2020,24-05-2020,04-06-2020
10300,0.0,30,-30.0,20-05-2020,24-05-2020,04-06-2020
10350,0.0,0,0.0,20-05-2020,24-05-2020,04-06-2020
10400,0.0,23.5,-23.5,20-05-2020,24-05-2020,04-06-2020
10450,0.0,0,0.0,20-05-2020,24-05-2020,04-06-2020
10500,0.0,6.8,-6.8,20-05-2020,24-05-2020,04-06-2020
10550,0.0,28.4,-28.4,20-05-2020,24-05-2020,04-06-2020
10600,0.0,20,-20.0,20-05-2020,24-05-2020,04-06-2020
10650,0.0,0,0.0,20-05-2020,24-05-2020,04-06-2020
10700,0.0,20,-20.0,20-05-2020,24-05-2020,04-06-2020
10750,0.0,0,0.0,20-05-2020,24-05-2020,04-06-2020
10800,0.0,20,-20.0,20-05-2020,24-05-2020,04-06-2020
10850,0.0,0,0.0,20-05-2020,24-05-2020,04-06-2020
10900,0.0,25,-25.0,20-05-2020,24-05-2020,04-06-2020
10950,0.0,0,0.0,20-05-2020,24-05-2020,04-06-2020
11000,0.0,20,-20.0,20-05-2020,24-05-2020,04-06-2020
