strike_price,new_premium,Old Premium,Change,current_date,Date of New Premium,Expiry Date
8000,846.5252415716748,1094.6,-248.07475842832514,20-05-2020,24-05-2020,28-05-2020
8050,831.0524463427236,1074.55,-243.4975536572764,20-05-2020,24-05-2020,28-05-2020
8100,780.2493207980332,1018.5,-238.25067920196682,20-05-2020,24-05-2020,28-05-2020
8150,735.8478815220317,968.1,-232.25211847796834,20-05-2020,24-05-2020,28-05-2020
8200,670.6116052695678,897.1,-226.48839473043222,20-05-2020,24-05-2020,28-05-2020
8250,660.3547349386639,881,-220.6452650613361,20-05-2020,24-05-2020,28-05-2020
8300,574.9436302092395,790,-215.05636979076053,20-05-2020,24-05-2020,28-05-2020
8350,577.2895472786076,787.9,-210.61045272139233,20-05-2020,24-05-2020,28-05-2020
8400,519.3388217120362,724.85,-205.51117828796384,20-05-2020,24-05-2020,28-05-2020
8450,472.0634835606145,672.25,-200.1865164393855,20-05-2020,24-05-2020,28-05-2020
8500,410.4534796790535,606.8,-196.34652032094647,20-05-2020,24-05-2020,28-05-2020
8550,396.51071386420637,588.95,-192.43928613579368,20-05-2020,24-05-2020,28-05-2020
8600,333.24470162146446,521.2,-187.9552983785356,20-05-2020,24-05-2020,28-05-2020
8650,291.66951168924464,476.2,-184.53048831075535,20-05-2020,24-05-2020,28-05-2020
8700,252.80167247116447,434.35,-181.54832752883556,20-05-2020,24-05-2020,28-05-2020
8750,213.65877483697437,392.7,-179.04122516302562,20-05-2020,24-05-2020,28-05-2020
8800,168.25856451546355,344.95,-176.69143548453644,20-05-2020,24-05-2020,28-05-2020
8850,148.6183720924592,322.4,-173.78162790754078,20-05-2020,24-05-2020,28-05-2020
8900,99.75477212795418,271.5,-171.7452278720458,20-05-2020,24-05-2020,28-05-2020
8950,74.68339546131428,244.95,-170.26660453868573,20-05-2020,24-05-2020,28-05-2020
9000,39.41884229256085,207.6,-168.18115770743913,20-05-2020,24-05-2020,28-05-2020
9050,12.974660243401704,179.85,-166.8753397565983,20-05-2020,24-05-2020,28-05-2020
9100,0.0,151,-151.0,20-05-2020,24-05-2020,28-05-2020
9150,0.0,128.5,-128.5,20-05-2020,24-05-2020,28-05-2020
9200,0.0,107.6,-107.6,20-05-2020,24-05-2020,28-05-2020
9250,0.0,88.9,-88.9,20-05-2020,24-05-2020,28-05-2020
9300,0.0,72,-72.0,20-05-2020,24-05-2020,28-05-2020
9350,0.0,59,-59.0,20-05-2020,24-05-2020,28-05-2020
9400,0.0,47.5,-47.5,20-05-2020,24-05-2020,28-05-2020
9450,0.0,37.85,-37.85,20-05-2020,24-05-2020,28-05-2020
9500,0.0,30.5,-30.5,20-05-2020,24-05-2020,28-05-2020
9550,0.0,25,-25.0,20-05-2020,24-05-2020,28-05-2020
9600,0.0,18.2,-18.2,20-05-2020,24-05-2020,28-05-2020
9650,0.0,15.1,-15.1,20-05-2020,24-05-2020,28-05-2020
9700,0.0,11.5,-11.5,20-05-2020,24-05-2020,28-05-2020
9750,0.0,9.5,-9.5,20-05-2020,24-05-2020,28-05-2020
9800,0.0,7.3,-7.3,20-05-2020,24-05-2020,28-05-2020
9850,0.0,6.3,-6.3,20-05-2020,24-05-2020,28-05-2020
9900,0.0,5.55,-5.55,20-05-2020,24-05-2020,28-05-2020
9950,0.0,5.4,-5.4,20-05-2020,24-05-2020,28-05-2020
10000,0.0,4.65,-4.65,20-05-2020,24-05-2020,28-05-2020
10050,0.0,4.4,-4.4,20-05-2020,24-05-2020,28-05-2020
10100,0.0,4,-4.0,20-05-2020,24-05-2020,28-05-2020
10150,0.0,3.9,-3.9,20-05-2020,24-05-2020,28-05-2020
10200,0.0,2.7,-2.7,20-05-2020,24-05-2020,28-05-2020
10250,0.0,2.95,-2.95,20-05-2020,24-05-2020,28-05-2020
10300,0.0,2.3,-2.3,20-05-2020,24-05-2020,28-05-2020
10350,0.0,3.9,-3.9,20-05-2020,24-05-2020,28-05-2020
10400,0.0,2.4,-2.4,20-05-2020,24-05-2020,28-05-2020
10450,0.0,2.55,-2.55,20-05-2020,24-05-2020,28-05-2020
10500,0.0,2.2,-2.2,20-05-2020,24-05-2020,28-05-2020
10550,0.0,3.35,-3.35,20-05-2020,24-05-2020,28-05-2020
10600,0.0,2,-2.0,20-05-2020,24-05-2020,28-05-2020
10650,0.0,4.3,-4.3,20-05-2020,24-05-2020,28-05-2020
10700,0.0,1.9,-1.9,20-05-2020,24-05-2020,28-05-2020
10750,0.0,2,-2.0,20-05-2020,24-05-2020,28-05-2020
10800,0.0,1.8,-1.8,20-05-2020,24-05-2020,28-05-2020
10850,0.0,3.8,-3.8,20-05-2020,24-05-2020,28-05-2020
10900,0.0,1.65,-1.65,20-05-2020,24-05-2020,28-05-2020
10950,0.0,1.8,-1.8,20-05-2020,24-05-2020,28-05-2020
11000,0.0,1.65,-1.65,20-05-2020,24-05-2020,28-05-2020
