strike_price,new_premium
8000,1302.8166503631032
8100,1204.4980787038826
8200,1101.8171336847568
8300,998.0928827947479
8400,890.6740386247463
8500,782.2847133556892
8600,672.944450576484
8700,571.3178957150639
8800,474.5265307670008
8900,384.2053377740594
9000,302.6349424278987
9100,228.8683353620928
9200,163.82691204971343
9300,106.3651200843409
9400,58.31066411154542
9500,18.48785166010642
9600,0.0
9700,0.0
9800,0.0
9900,0.0
10000,0.0
10100,0.0
10200,0.0
10300,0.0
10400,0.0
10500,0.0
10600,0.0
10700,0.0
10800,0.0
10900,0.0
11000,0.0
