strike_price,premium
8000,-32.19511031572172
8100,-41.139614325997265
8200,-46.78430439270463
8300,-54.77904379513048
8400,-57.72690154003021
8500,-58.205818823214976
8600,-54.79291619102031
8700,-44.089294439747064
8800,-26.743166667047888
8900,-1.4693916677463221
9000,29.936085006210618
9100,72.58780582013358
9200,122.50869176330383
9300,182.63395036499716
9400,250.82019650405434
9500,327.85861239563565
9600,408.49076436326084
9700,499.42564517883284
9800,593.3566028401867
9900,692.9770175293102
10000,796.9938593941499
10100,895.1385613697572
10200,1008.1749384094059
10300,1112.9041496547982
10400,1217.1669147405328
10500,1321.8433502655316
10600,1430.8508862375554
10700,1536.140760098602
10800,1640.693577113711
10900,1745.514382013126
11000,1853.627619834105
