strike_price,premium
8000,1113.1026005165388
8100,1016.8433803972758
8200,920.5403562100224
8300,829.0657102726369
8400,739.056867785117
8500,650.7348132499214
8600,560.9025811616825
8700,475.4815211571062
8800,390.64571836007457
8900,309.80628067249154
9000,239.2151562173254
9100,181.84017523147338
9200,139.91626361866278
9300,110.20007611890638
9400,90.49401165022232
9500,76.03948461654112
9600,62.984318518256565
9700,51.33956303615876
9800,41.08283482438246
9900,31.30025035995228
10000,23.772588182120003
10100,16.933965499967844
10200,12.98281003917716
10300,8.995975243676716
10400,6.999149773078893
10500,5.9998374503639464
10600,4.999971791848106
10700,3.999995544056291
10800,3.9999993574916757
10900,2.9999999152090746
11000,2.999999989732364
