strike_price,premium
8000,2.60
8050,3.90
8100,3.60
8150,4.50
8200,4.70
8250,6.40
8300,5.90
8350,6.95
8400,7.60
8450,8.75
8500,9.65
8550,12.50
8600,14.30
8650,18.25
8700,23.00
8750,28.30
8800,36.25
8850,45.30
8900,59.00
8950,75.00
9000,95.00
9050,118.00
9100,143.90
9150,178.80
9200,208.95
9250,246.00
9300,286.95
9350,329.00
9400,370.95
9450,419.80
9500,463.00
9550,516.20
9600,563.60
9650,612.50
9700,662.45
9750,717.85
9800,759.85
9850,817.30
9900,860.25
9950,940.35
10000,958.25
10050,1024.20
10100,1062.75
10150,1138.85
10200,1161.75
10250,1226.05
10300,1276.35
10350,1373.40
10400,1444.90
10450,1464.05
10500,1455.90
10550,1578.00
10600,1671.40
10650,1827.75
10700,1738.20
10750,1801.85
10800,1869.60
10850,2027.75
10900,1962.90
10950,2124.80
11000,1961.55
