strike_price,premium
8000,1047.60
8050,1022.15
8100,950.55
8150,929.75
8200,850.85
8250,811.05
8300,757.10
8350,711.85
8400,664.15
8450,619.05
8500,553.00
8550,516.95
8600,461.10
8650,413.15
8700,368.90
8750,324.30
8800,281.20
8850,241.05
8900,201.60
8950,170.00
9000,138.00
9050,112.95
9100,87.00
9150,66.95
9200,51.00
9250,37.50
9300,27.00
9350,19.00
9400,13.55
9450,10.00
9500,7.15
9550,4.75
9600,3.20
9650,2.50
9700,2.75
9750,2.00
9800,1.40
9850,1.80
9900,1.40
9950,1.50
10000,1.20
10050,1.35
10100,1.00
10150,1.20
10200,0.90
10250,1.20
10300,0.80
10350,2.30
10400,0.95
10450,1.00
10500,0.70
10550,1.55
10600,0.75
10650,2.30
10700,0.65
10750,1.90
10800,0.75
10850,2.45
10900,0.45
10950,0.85
11000,0.70
