strike_price,premium
8000,10.50
8050,35.95
8100,12.90
8150,40.10
8200,19.50
8250,44.05
8300,22.90
8350,52.00
8400,28.00
8450,59.00
8500,48.95
8550,57.80
8600,51.00
8650,90.15
8700,71.00
8750,108.45
8800,99.00
8850,139.70
8900,131.00
8950,155.20
9000,170.40
9050,197.50
9100,223.90
9150,336.00
9200,279.45
9250,387.35
9300,366.95
9350,458.50
9400,420.00
9450,667.15
9500,522.10
9550,607.75
9600,617.65
9650,702.15
9700,710.55
9750,803.85
9800,807.95
9850,908.35
9900,966.30
9950,1023.55
10000,1087.20
10050,1123.70
10100,1201.90
10150,1253.65
10200,1312.85
10250,1381.75
10300,1431.45
10350,1511.55
10400,1541.20
10450,1624.25
10500,1646.40
10550,1720.75
10600,1755.25
10650,1780.55
10700,1880.85
10750,1905.85
10800,1962.40
10850,2007.65
10900,2076.35
10950,2131.95
11000,2161.80
