strike_price,premium
8000,1163.40
8050,1173.10
8100,1118.50
8150,1065.35
8200,1010.85
8250,956.90
8300,901.65
8350,869.50
8400,822.00
8450,738.50
8500,677.90
8550,860.85
8600,811.70
8650,757.10
8700,751.55
8750,683.05
8800,602.20
8850,506.55
8900,452.75
8950,419.00
9000,270.60
9050,504.50
9100,466.25
9150,463.30
9200,173.45
9250,462.95
9300,138.75
9350,463.30
9400,92.00
9450,0.00
9500,65.00
9550,109.60
9600,60.00
9650,93.70
9700,92.00
9750,92.00
9800,92.00
9850,92.00
9900,92.00
9950,92.00
10000,20.00
10050,92.00
10100,55.00
10150,81.25
10200,81.30
10250,108.95
10300,108.95
10350,108.95
10400,108.95
10450,108.95
10500,35.00
10550,81.30
10600,81.30
10650,176.50
10700,96.25
10750,153.25
10800,81.30
10850,0.00
10900,0.00
10950,0.00
11000,28.00
