strike_price,premium
8000,38.50
8050,0.00
8100,88.00
8150,0.00
8200,130.00
8250,118.15
8300,90.00
8350,127.65
8400,95.00
8450,115.55
8500,85.05
8550,362.30
8600,325.00
8650,362.30
8700,300.60
8750,364.50
8800,320.85
8850,279.45
8900,241.70
8950,303.70
9000,257.40
9050,495.80
9100,545.75
9150,601.25
9200,648.10
9250,702.85
9300,757.55
9350,803.10
9400,0.00
9450,563.10
9500,592.00
9550,650.90
9600,705.50
9650,754.25
9700,808.85
9750,863.60
9800,918.20
9850,972.80
9900,1027.50
9950,1082.10
10000,1136.70
10050,1191.50
10100,1232.10
10150,1278.10
10200,1336.90
10250,1389.50
10300,1442.95
10350,1498.90
10400,1567.45
10450,1618.15
10500,1655.10
10550,1693.10
10600,1748.20
10650,1802.80
10700,1856.90
10750,1935.10
10800,1982.70
10850,2044.00
10900,2098.60
10950,2142.30
11000,2184.20
