strike_price,premium
8000,1252.65
8050,1614.10
8100,1560.00
8150,1505.95
8200,1451.85
8250,1397.80
8300,1343.70
8350,1289.65
8400,1235.55
8450,1181.50
8500,1127.40
8550,1073.35
8600,1019.25
8650,965.20
8700,911.10
8750,857.05
8800,812.15
8850,757.45
8900,702.75
8950,656.55
9000,601.10
9050,1128.65
9100,389.90
9150,433.15
9200,441.50
9250,491.95
9300,491.95
9350,0.00
9400,0.00
9450,504.85
9500,0.00
9550,0.00
9600,0.00
9650,0.00
9700,0.00
9750,0.00
9800,0.00
9850,0.00
9900,0.00
9950,504.85
10000,0.00
10050,0.00
10100,0.00
10150,0.00
10200,0.00
10250,0.00
10300,0.00
10350,0.00
10400,0.00
10450,41.95
10500,36.35
10550,36.15
10600,36.15
10650,109.00
10700,85.55
10750,223.80
10800,33.05
10850,0.00
10900,0.00
10950,0.00
11000,31.15
